Equipment,Description,Location,Cost Center,Planning plant,ManufSerialNo.,Acquistion date,Room,Sort field
220023040,NH4000DCG,ALM,22ALM11673,2210,NH401GG1905,,,PLANT 1 2017
220023041,MORI NH4000 DCG,,,2210,NH401GH1931,,,WATERLOO 2017
220023042,MORI NH4000 DCG,HON,22HON11411,2220,NH401GH1954,,,PLANT 2 2017
220023043,JE30S ENSHU,HYC,22DCX11404,2220,07C267(#518),,,PLANT 2 2017
220023044,JE30S ENSHU,HYC,22DCX11404,2220,07C268(#519),,,PLANT 2 2017
220023045,JE30S ENSHU,HYC,22DCX11404,2220,07C269(#520),,,PLANT 2 2017
220023046,JE30S ENSHU,HYC,22DCX11404,2220,07C270(#521),,,PLANT 2 2017
220023047,JE30S ENSHU,HYC,22DCX11404,2220,07C271(#490),,,PLANT 2 2017
220023048,GUNDRILL |A|,HON,22HON11411,2220,M-6290-A,,,PLANT 2 2017
220023049,GUNDRILL |B|,HON,22HON11411,2220,M-6290-B,,,PLANT 2 2017
220023050,23050,HSG,22HSG11250,2210,AE1499,,,PLANT 1 2017
220023051,23051,HSG,22HSG11204,2210,AE1206,,,PLANT 1 2017
220023052,GUNDRILL |A|,HON,22HON11437,2220,M-6368-A,,,PLANT 2 2017
220023053,GUNDRILL |B|,HON,22HON11437,2220,M-6368-B,,,PLANT 2 2017
220023054,ENSHU MILLING JE50S,FRD,22FRD11429,2220,12C203,08/01/2013,,PLANT 2 2017
220023055,ENSHU MILLING JE50S,FRD,22FRD11429,2220,12C204,08/01/2013,EL,PLANT 2 2017
220023056,ENSHU MILLING JE50S,FRD,22FRD11429,2220,12C205,08/01/2013,,PLANT 2 2017
220023057,BROTHER MILL TC-52DN DE-BURRING,FRD,22FRD11429,2220,219035,08/01/2013,,PLANT 2 2017
220023058,ENSHU JE505 MILL #1 AP4,HON,22HON11416,2220,13C001,,,PLANT 2 2017
220023059,ENSHU JE505 MILL #2 AP4,HON,22HON11416,2220,13C002,,,PLANT 2 2017
220023060,MIROKU GUN DRILL,HON,22HON11416,2220,M-6571,09/01/2013,,PLANT 2 2017
220023061,ENSHU JE30SH MILL,HON,22HON11416,2220,13C003,09/01/2013,,PLANT 2 2017
220023062,ENSHU JE30SH MILL,HON,22HON11416,2220,13C004,09/01/2013,,PLANT 2 2017
220023063,ENSHU JE30SH MILL,HON,22HON11416,2220,13C005,09/01/2013,,PLANT 2 2017
220023064,ENSHU JE30SH MILL,HON,22HON11416,2220,13C006,09/01/2013,,PLANT 2 2017
220023065,ENSHU MILLING JE50S,FRD,22FRD11423,2220,12C283 #1938,,,PLANT 2 2017
220023066,ENSHU MILLING JE50S,FRD,22FRD11423,2220,12C283 #1943,,,PLANT 2 2017
220023067,ENSHU MILLING JE50S,FRD,22FRD11423,2220,12C283 #1939,,,PLANT 2 2017
220023068,ENSHU MILLING JE50S,FRD,22FRD11424,2220,12C286 #1941,,,PLANT 2 2017
220023069,ENSHU MILLING JE50S,FRD,22FRD11424,2220,12C286 #1942,,,PLANT 2 2017
220023070,ENSHU MILLING JE50S,FRD,22FRD11424,2220,12C286 #1940,,,PLANT 2 2017
220023071,BROTHER MILL DEBURRING,FRD,22FRD11423,2220,220818,,,PLANT 2 2017
220023072,BROTHER MILL DEBURRING,FRD,22FRD11424,2220,220817,,,PLANT 2 2017
220023073,Mori NH4000 DCG,,,,NH401170305,04/12/2017,,WATERLOO 2017
220023074,Mori NH4000 DCG,,,,NH401170306,04/12/2017,,WATERLOO 2017
220023075,Mori NH4000 DCG,,,,NH401170307,04/12/2017,,WATERLOO 2017
220023076,Mori NH4000 DCG,ALM,22ALM11674,2210,NH401170308,04/12/2017,,PLANT 1 2017
220023095,MIROKU GUN DRILL,HON,22HON11437,2220,M-6542-A,,,PLANT 2 2017
220023096,MIROKU GUN DRILL,HON,22HON11437,2220,M-6542-B,,,PLANT 2 2017
220023097,Enshu JE50S Mill,HON,22HON11437,2220,12C083#2025,,,PLANT 2 2017
220023098,Enshu JE50S Mill,HON,22HON11437,2220,15C084#2026,,,PLANT 2 2017
220023099,Enshu JE30sH Mill,HON,22HON11437,2220,15C085#199,,,PLANT 2 2017
220023100,Enshu JE30sH Mill,HON,22HON11437,2220,15C086#200,,,PLANT 2 2017
220023101,Enshu JE30sH Mill,HON,22HON11437,2220,15C087#201,,,PLANT 2 2017
220023102,Enshu JE30sH Mill,HON,22HON11437,2220,15C088#202,,,PLANT 2 2017
220023103,Enshu JE30sH Mill,HON,22HON11437,2220,15C089#203,,,PLANT 2 2017
220023104,NH4000,,,2210,NH401HI2548,,,WATERLOO 2017
220023105,NH4000DCG,,22ALM00000,2210,NH401GD1748,,,WATERLOO 2017
220023106,NH5000/40DCG,,,2210,NH502GC0335,,,WATERLOO 2017
220023107,Enshu JE50S Mill,FRD,22FRD11425,2220,15C380#2056,,,PLANT 2 2017
220023108,Enshu JE50S Mill,FRD,22FRD11425,2220,15C381#2057,,,PLANT 2 2017
220023109,Enshu JE30sH Mill,FRD,22FRD11425,2220,15C382#235,,,PLANT 2 2017
220023110,Enshu JE50S Mill,HON,22HON11418,2220,16C081 #2063,,,PLANT 2 2017
220023111,Enshu JE50S Mill,HON,22HON11418,2220,16C082 #2064,,,PLANT 2 2017
220023112,Miroku Gundrill,HON,22HON11418,2220,M-6693,,,PLANT 2 2017
220023113,Unused -  Rename When Needed,,,2220,,,,N/A
220023114,Enshu JE30sH Mill,HON,22HON11418,2220,16C083 #239,,,PLANT 2 2017
220023115,Enshu JE30sH Mill,HON,22HON11418,2220,16C084 #240,,,PLANT 2 2017
220023116,Enshu JE30sH Mill,HON,22HON11418,2220,16C085 #241,,,PLANT 2 2017
220023117,Enshu JE30sH Mill,HON,22HON11418,2220,16C086 #242,,,PLANT 2 2017
220023118,Deawoo CNC DMV-3016D,,,2210,AV4E 203,,,
220029001,GRIND MACH,CLP,22CLP00000,2210,OSA-0202-P39,,,SCRAP BEFORE SAP
220029002,GRIND MACH,CLP,22CLP00000,2210,OSA-0202-P40,,,SCRAP BEFORE SAP
220036002,TAPE DRILL,CRD,22CRD11374,2210,F-420419 (A04B-0021-A001),03/01/2004,EL,PLANT 1 2017
220036005,TAPE DRILL,CRD,22CRD11376,2210,,09/01/2004,,PLANT 1 2017
220036008,TAPE DRILL,CRD,22CRD11372,2210,F-5205(A04B-0021-A001),06/01/2001,,PLANT 1 2017
220036009,TAPE DRILL,CRD,22CRD11373,2210,F-520529(A04B-0021-A001),06/01/2001,,PLANT 1 2017
220036010,TAPE DRILL,CRD,22CRD11375,2210,F-520530(A04B 0021 A001),08/01/2004,,PLANT 1 2017
220036023,TAPE DRILL,CRD,22CRD11371,2210,F-620904(A04B-0023-A001),06/01/2001,,PLANT 1 2017
220038002,TRANSFER MACHINE,DCX,22DCX11403,2220,DM-178,02/01/2006,,PLANT 2 2017
220038003,TRANSFER MACHINE,DCX,22DCX11403,2220,DM-177,02/01/2006,,PLANT 2 2017
220038004,TRANSFER MACHINE,DCX,22DCX11403,2220,DM-180,09/01/2006,,WAREHOUSE 2017
220038005,TRANSFER MACHINE,DCX,22DCX11403,2220,DM-181,09/01/2006,,WAREHOUSE 2017
220038009,DTM,HON,22HON11411,2220,101551550A,,,SCRAP BEFORE SAP
220040000,2012-59 PROJECT,HSG,22HSG11277,2210,,,,SCRAP BEFORE SAP
220052001,GL5P-63H JOURNAL GRINDER,HON,22HON11437,2220,RF0210TG3434-1,11/01/2004,,PLANT 2 2017
220052002,GL5P-63H JOURNAL GRINDER,HON,22HON11416,2220,RF0211 TG3434-2,09/01/2013,,PLANT 2 2017
220052003,GL5P-63H JOURNAL GRINDER,GMC,22GMC11415,2220,RF0212TG2323-3,11/01/2004,,WAREHOUSE 2017
220052004,GL5P-63H JOURNAL GRINDER,GMC,22GMC11415,2220,RF0213TG3434-4,11/01/2004,,WAREHOUSE 2017
220052005,GC32M-63 CAM GRINDER,HON,22HON11437,2220,RF0214 TC3410-4,11/01/2004,,PLANT 2 2017
220052006,GC32M-63 CAM GRINDER,HON,22HON11437,2220,RF0215TG3119-1,11/01/2004,,PLANT 2 2017
220052007,GC32M-63 CAM GRINDER,HON,22HON11437,2220,RF0216TG3419-2,11/01/2004,,PLANT 2 2017
220052008,GC32M-63 CAM GRINDER - REBUILT,HON,22HON11411,2220,RF0217TG2419-3,,,PLANT 2 2017
220052009,120M GL5P-63II JOURNAL GRINDER,HON,22HON11413,2220,RC9056,04/01/2005,,WAREHOUSE 2017
220052010,120M GL5P-63II JOURNAL GRINDER,HON,22HON11413,2220,RC9057,04/01/2005,,WAREHOUSE 2017
220052011,TOYODA JOURNAL GRINDER GL5P-63II,FRD,22FRD11424,2220,RC9058,,,PLANT 2 2017
220052015,TOYODA JOURNAL GRINDER GL5P-63II 120M,FRD,22FRD11424,2220,RC9062,,,PLANT 2 2017
220052017,GC32M-63 CAM GRINDER,HON,22HON11411,2220,RCC9674,04/01/2005,,PLANT 2 2017
220052018,GC32M-63 CAM GRINDER,HYC,22DCX11404,2220,RC9026,04/01/2005,,PLANT 2 2017
220052019,TOYODA CAM GRINDER GC32M-63,FRD,22FRD11429,2220,RC9027,08/01/2013,,PLANT 2 2017
220052020,TOYODA CAM GRINDER GC32M-63,FRD,22FRD11429,2220,RC9675,08/01/2013,,PLANT 2 2017
220052021,GL5P-63H JOURNAL GRINDER,DCX,22DCX11403,2220,RF-1157,02/01/2006,,PLANT 2 2017
220052022,GL5P-63H JOURNAL GRINDER,DCX,22DCX11403,2220,RF-1158,02/01/2006,,PLANT 2 2017
220052023,GL5P-63H JOURNAL GRINDER,DCX,22DCX11403,2220,RF-1159,02/01/2006,,PLANT 2 2017
220052024,CAM GRINDER,DCX,22DCX11403,2220,RF-1160,02/01/2006,,PLANT 2 2017
220052025,CAM GRINDER,DCX,22DCX11403,2220,RF-1161,02/01/2006,,PLANT 2 2017
220052026,GL5P-63H JOURNAL GRINDER,HON,22HON11416,2220,RF1633,09/01/2013,,PLANT 2 2017
220052027,CL32M-63 JOURNAL GRINDER,HYC,22DCX11404,2220,RF-2801,,,PLANT 2 2017
220052028,CL32M-63 JOURNAL GRINDER,HYC,22DCX11404,2220,RF-2802,,,PLANT 2 2017
220052029,CL32M-63 JOURNAL GRINDER,HYC,22DCX11404,2220,RF-2803,,,PLANT 2 2017
220052030,CL32M-63 JOURNAL GRINDER,HYC,22DCX11404,2220,RF-2804,,,PLANT 2 2017
220052031,GC32M-63 CAM GRINDER,HON,22HON11437,2220,RF-2805,,,PLANT 2 2017
220052032,GC32M-63 CAM GRINDER,FRD,22FRD11425,2220,RF2806,,,PLANT 2 2017
220052033,JOURNAL GRINDER,HON,22HON11411,2220,RF-2723,,,PLANT 2 2017
220052034,JOURNAL GRINDER,HON,22HON11411,2220,RF-2724,,,PLANT 2 2017
220052035,CAM GRINDER,HON,22HON11411,2220,RF-1667,,,PLANT 2 2017
220052036,CAM GRINDER,HON,22HON11411,2220,RF-1666,,,PLANT 2 2017
220052037,JOURNAL GRINDER,HON,22HON11437,2220,RF-2722,,,PLANT 2 2017
220052038,JOURNAL GRINDER,HON,22HON11437,2220,RF-2721,,,PLANT 2 2017
220052039,GL4P-50SII,DCX,22DCX11403,2220,RC9506,,,SCRAP 2015
220052040,GL4P-50SII,DCX,22DCX11403,2220,RC9505,,,SCRAP 2015
220052041,GL4P-50SII,DCX,22DCX11403,2220,RC9240,,,SCRAP 2015
220052042,GC20M-63MS,HYC,22DCX11404,2220,RF2332,,,PLANT 2 2017
220052043,SCHAUDT GRINDER,DCX,22DCX11403,2220,120.660,07/30/2012,,SOLD 2017
220052044,TOYODA JOURNAL GRINDER,FRD,22FRD11429,2220,RF-5643,08/01/2013,,PLANT 2 2017
220052045,TOYODA JOURNAL GRINDER,FRD,22FRD11429,2220,RF-5644,08/01/2013,,PLANT 2 2017
220052046,TOYODA CAM GRINDER,FRD,22FRD11429,2220,RF-5645,08/01/2013,,PLANT 2 2017
220052047,GL5P-63H TOYODA CAM GRINDER,HON,22HON11416,2220,RF5639,09/01/2013,,PLANT 2 2017
220052048,GL5P-63H TOYODA CAM GRINDER,HON,22HON11416,2220,RF5640,09/01/2013,,PLANT 2 2017
220052049,GL5P-63H TOYODA CAM GRINDER,HON,22HON11416,2220,RF5641,09/01/2013,,PLANT 2 2017
220052050,GL5P-63H TOYODA CAM GRINDER,HON,22HON11416,2220,RF5638,09/01/2013,,PLANT 2 2017
220052051,TOYODA JOURNAL GRINDER GL5P-63III,FRD,22FRD11423,2220,RF-5831,,,PLANT 2 2017
220052052,TOYODA JOURNAL GRINDER GL5P-63III,FRD,22FRD11423,2220,RF-5332,,,PLANT 2 2017
220052053,TOYODA CAM GRINDER GC32M-63,FRD,22FRD11424,2220,RF5742,,,PLANT 2 2017
220052054,TOYODA CAM GRINDER GC32M-63,FRD,22FRD11424,2220,RF5741,,,PLANT 2 2017
220052055,GL5P-63III Journal grinder,FRD,22FRD11425,2220,RF7269,,,PLANT 2 2017
220052056,GL5P-63III Journal grinder,FRD,22FRD11425,2220,RF7270,,,PLANT 2 2017
220052059,GL32Mi-63 Journal Grinder,HON,22HON11418,2220,RF-7427,,,PLANT 2 2017
220052060,GL32Mi-63 Journal Grinder,HON,22HON11418,2220,RF-7428,,,PLANT 2 2017
220052061,GC20Mi-63 Cam Grinder,HON,22HON11418,2220,RF-7429,,,PLANT 2 2017
220052062,GC20Mi-63 Cam Grinder,HON,22HON11418,2220,RF-7430,,,PLANT 2 2017
220052063,GC20Mi-63 Cam Grinder,HON,22HON11418,2220,RF-7431,,,PLANT 2 2017
